POD;DATA;ORA;FL_ORA_LEGALE;CONSUMO_ATTIVA_PRELEVATA;ATTIVA_IMMESSA;CONSUMO_REATTIVA_INDUTTIVA_PRELEVATA;REATTIVA_INDUTTIVA_IMMESSA;CONSUMO_REATTIVA_CAPACITIVA_PRELEVATA;REATTIVA_CAPACITIVA_IMMESSA;CONSUMO_PICCO_PRELEVATA;CONSUMO_PICCO_IMMESSA;TIPO_DATO
IT012E00801406;20250418;143000;2;0.044;;0;;;;2.096;0;E
IT012E00801406;20250418;144500;2;0.04;;0;;;;2.096;0;E
IT012E00801406;20250418;150000;2;0.03;;0;;;;2.096;0;E
IT012E00801406;20250418;151500;2;0.029;;0;;;;2.096;0;E
IT012E00801406;20250418;153000;2;0.048;;0;;;;2.096;0;E
IT012E00801406;20250418;154500;2;0.045;;0;;;;2.096;0;E
IT012E00801406;20250418;160000;2;0.033;;0;;;;2.096;0;E
IT012E00801406;20250418;161500;2;0.03;;0;;;;2.096;0;E
IT012E00801406;20250418;163000;2;0.03;;0;;;;2.096;0;E
IT012E00801406;20250418;164500;2;0.033;;0;;;;2.096;0;E
IT012E00801406;20250418;170000;2;0.048;;0;;;;2.096;0;E
IT012E00801406;20250418;171500;2;0.037;;0;;;;2.096;0;E
IT012E00801406;20250418;173000;2;0.03;;0;;;;2.096;0;E
IT012E00801406;20250418;174500;2;0.03;;0;;;;2.096;0;E
IT012E00801406;20250418;180000;2;0.04;;0;;;;2.096;0;E
IT012E00801406;20250418;181500;2;0.031;;0;;;;2.096;0;E
IT012E00801406;20250418;183000;2;0.015;;0;;;;2.096;0;E
IT012E00801406;20250418;184500;2;0.014;;0;;;;2.096;0;E
IT012E00801406;20250418;190000;2;0.014;;0;;;;2.096;0;E
IT012E00801406;20250418;191500;2;0.019;;0;;;;2.096;0;E
IT012E00801406;20250418;193000;2;0.028;;0;;;;2.096;0;E
IT012E00801406;20250418;194500;2;0.015;;0;;;;2.096;0;E
IT012E00801406;20250418;200000;2;0.013;;0;;;;2.096;0;E
IT012E00801406;20250418;201500;2;0.013;;0;;;;2.096;0;E
IT012E00801406;20250418;203000;2;0.014;;0;;;;2.096;0;E
IT012E00801406;20250418;204500;2;0.038;;0;;;;2.096;0;E
IT012E00801406;20250418;210000;2;0.029;;0;;;;2.096;0;E
IT012E00801406;20250418;211500;2;0.021;;0;;;;2.096;0;E
IT012E00801406;20250418;213000;2;0.023;;0;;;;2.096;0;E
IT012E00801406;20250418;214500;2;0.029;;0;;;;2.096;0;E
IT012E00801406;20250418;220000;2;0.054;;0.014;;;;2.096;0;E
IT012E00801406;20250418;221500;2;0.084;;0.018;;;;2.096;0;E
IT012E00801406;20250418;223000;2;0.367;;0.011;;;;2.096;0;E
IT012E00801406;20250418;224500;2;0.044;;0.011;;;;2.096;0;E
IT012E00801406;20250418;230000;2;0.04;;0.013;;;;2.096;0;E
